Date,TestID,Country,Age (M),Sex
2023-04-13,2334000487D,Spain,47.0,Female
2023-04-13,2331000683D,Netherland,32.0,Male
2023-04-13,2331000884D,Germany,32.0,Male
2023-04-13,2331000880D,Germany,93.0,Female
2023-04-13,2331000851D,Netherland,143.0,Male
2023-04-13,2331001025D,Sweden,56.0,Female
2023-04-13,2331000881D,Germany,21.0,Male
2023-04-13,2331000879D,Germany,81.0,Female
2023-04-13,2344000227D,UK,44.0,Female
2023-04-13,2334000522D,Italy,44.0,Female
2023-04-13,2331000768D,Netherland,143.0,Female
2023-04-13,2334000505D,Spain,20.0,Female
2023-04-13,2331000887D,Germany,63.0,Male
2023-04-13,2331000608D,Finland,33.0,Male
2023-04-13,2331000708D,Netherland,21.0,Male
2023-04-13,2334000499D,Spain,44.0,Female
2023-04-13,2331000770D,Netherland,32.0,Female
2023-04-13,2331000876D,Germany,83.0,Female
2023-04-13,2334000473D,Spain,81.0,Female
2023-04-13,2331000883D,Germany,56.0,Female
2023-04-13,2334000501D,Spain,93.0,Female
2023-04-13,2334000506D,Spain,32.0,Female
2023-04-13,2331000882D,Germany,20.0,Female
2023-04-13,2334000475D,Slovenia,32.0,Female
2023-04-13,2331000791D,Netherland,93.0,Female
2023-04-13,2331000886D,Belgium,68.0,Male
2023-04-14,2331000908D,Germany,74.0,Female
2023-04-14,2334000528D,Spain,47.0,Male
2023-04-14,2334000510D,Spain,19.0,Female
2023-04-14,2331000895D,Netherland,66.0,Male
2023-04-14,2331001023D,Sweden,21.0,Male
2023-04-14,2334000526D,Spain,25.0,Female
2023-04-14,2331000907D,Germany,71.0,Female
2023-04-14,2331000960D,Denmark,28.0,Male
2023-04-14,2331001013D,Sweden,53.0,Male
2023-04-14,2334000504D,Spain,35.0,Female
2023-04-14,2334000534D,Spain,55.0,Female
2023-04-14,2334000491D,Spain,91.0,Female
2023-04-14,2331000909D,Germany,97.0,Female
2023-04-14,2331000901D,Netherland,97.0,Male
2023-04-14,2334000527D,Spain,59.0,Female
2023-04-14,2331000910D,Germany,16.0,Male
2023-04-14,2331001015D,Sweden,35.0,Male
2023-04-14,2331000630D,Norway,14.0,Female
2023-04-14,2331000878D,Belgium,41.0,Male
2023-04-14,2331001012D,Sweden,44.0,Male
2023-04-14,2331000769D,Netherland,80.0,Male
2023-04-14,2331000959D,Denmark,145.0,Female
2023-04-14,2331001022D,Sweden,33.0,Male
2023-04-14,2344000219D,UK,49.0,Female
2023-04-14,2334000519D,Spain,16.0,Male
2023-04-14,2334000520D,Spain,32.0,Male
2023-04-14,2334000513D,Spain,66.0,Male
2023-04-14,2331000899D,Netherland,66.0,Female
2023-04-14,2344000220D,UK,14.0,Female
2023-04-14,2334000524D,Spain,44.0,Male
2023-04-14,2331000905D,Germany,59.0,Female
2023-04-14,2331000898D,Netherland,71.0,Female
2023-04-14,2331000893D,Netherland,44.0,Male
2023-04-14,2331000897D,Netherland,59.0,Male
2023-04-14,2334000511D,Spain,18.0,Female
2023-04-14,2334000518D,Spain,109.0,Female
2023-04-14,2334000492D,Spain,54.0,Male
2023-04-14,2334000530D,Spain,25.0,Female
2023-04-14,2331000894D,Netherland,25.0,Female
2023-04-14,2334000532D,Spain,57.0,Male
2023-04-14,2331000689D,Germany,32.0,Male
2023-04-14,2334000512D,Greece,66.0,Male
2023-04-14,2331000737D,Netherland,35.0,Female
2023-04-14,2334000489D,Spain,95.0,Male
2023-04-14,2331000904D,Germany,66.0,Male
2023-04-14,2331001011D,Sweden,74.0,Female
